datetime,time,tem,dew_point,humidity,pressure,wind_dr,wind_sp,condition
2017/4/1,14,23,10,44,1020,15,4,5
2017/4/1,15,24,9,38,1019,15,5,5
2017/4/1,16,25,10,39,1018,3,4,5
2017/4/1,17,24,7,24,1018,15,3,2
2017/4/1,18,24,8,36,1018,1,4,5
2017/4/1,19,23,8,38,1018,2,4,5
2017/4/1,20,20,11,49,1020,12,1,2
2017/4/1,21,21,11,53,1020,1,1,5
2017/4/1,22,19,12,64,1020,6,1,5
2017/4/1,23,18,14,70,1021,15,2,2
2017/4/2,0,18,15,83,1020,0,0,5
2017/4/2,1,17,15,88,1020,3,1,5
2017/4/2,2,17,14,82,1020,14,1,2
2017/4/2,3,17,12,72,1020,0,0,5
2017/4/2,4,17,13,77,1020,2,2,5
2017/4/2,5,16,15,92,1021,0,0,2
2017/4/2,6,15,11,77,1021,2,2,5
2017/4/2,7,17,12,72,1022,2,2,5
2017/4/2,8,17,14,78,1023,2,1,2
2017/4/2,9,20,8,46,1023,2,4,5
2017/4/2,10,22,6,35,1023,1,4,5
2017/4/2,11,23,10,32,1023,12,1,2
2017/4/2,12,24,5,29,1022,5,3,5
2017/4/2,13,23,9,41,1021,8,5,5
2017/4/2,14,24,8,25,1021,12,2,2
2017/4/2,15,23,11,47,1020,9,4,5
2017/4/2,16,23,11,47,1019,10,5,5
2017/4/2,17,22,9,33,1020,16,4,3
2017/4/2,18,21,12,56,1019,10,6,5
2017/4/2,19,21,11,53,1020,12,5,5
2017/4/2,20,19,10,45,1021,3,2,3
2017/4/2,21,19,9,52,1021,13,6,5
2017/4/2,22,19,9,52,1022,13,5,5
2017/4/2,23,18,11,51,1022,2,1,2
2017/4/3,0,18,10,59,1022,13,3,5
2017/4/3,1,18,11,64,1021,13,3,5
2017/4/3,2,17,12,60,1021,5,1,2
2017/4/3,3,17,11,68,1020,13,2,5
2017/4/3,4,17,10,63,1020,13,2,5
2017/4/3,5,17,11,63,1021,0,0,2
2017/4/3,6,17,10,63,1021,2,2,5
2017/4/3,7,17,10,63,1022,2,2,7
2017/4/3,8,18,12,58,1022,4,2,2
2017/4/3,9,21,9,46,1022,2,4,5
2017/4/3,10,23,9,41,1022,16,3,5
2017/4/3,11,23,12,38,1022,1,2,2
2017/4/3,12,23,12,50,1021,7,4,5
2017/4/3,14,24,14,53,1020,9,4,5
2017/4/3,15,23,14,57,1019,9,3,5
2017/4/3,16,23,16,65,1018,9,4,5
2017/4/3,17,23,14,50,1019,15,1,2
2017/4/3,18,23,13,53,1018,16,5,5
2017/4/3,19,22,14,60,1019,16,6,5
2017/4/3,20,20,13,53,1020,1,2,2
2017/4/3,21,21,12,56,1020,13,5,5
2017/4/3,22,20,12,60,1021,16,4,5
